Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
D,Ryan Lindgren (26070360),Ryan Lindgren,26070360,D/UTIL,3500,WAS@NYR 12/27/2022 07:00PM ET,NYR,6.54
C,Paul Stastny (26069532),Paul Stastny,26069532,C/UTIL,3500,CHI@CAR 12/27/2022 07:00PM ET,CAR,3.23
C,Jean-Gabriel Pageau (26069534),Jean-Gabriel Pageau,26069534,C/UTIL,3500,PIT@NYI 12/27/2022 07:30PM ET,NYI,7.47
LW,Nino Niederreiter (26069852),Nino Niederreiter,26069852,W/UTIL,3500,DAL@NSH 12/27/2022 08:00PM ET,NSH,7.44
RW,Karson Kuhlman (26069850),Karson Kuhlman,26069850,W/UTIL,3500,MIN@WPG 12/27/2022 08:00PM ET,WPG,3.62
D,Jonas Brodin (26070362),Jonas Brodin,26070362,D/UTIL,3500,MIN@WPG 12/27/2022 08:00PM ET,MIN,6.64
D,Matt Dumba (26070364),Matt Dumba,26070364,D/UTIL,3500,MIN@WPG 12/27/2022 08:00PM ET,MIN,6.12
D,MacKenzie Weegar (26070358),MacKenzie Weegar,26070358,D/UTIL,3500,EDM@CGY 12/27/2022 09:00PM ET,CGY,6.2
RW,Conor Garland (26069846),Conor Garland,26069846,W/UTIL,3500,SJ@VAN 12/27/2022 10:00PM ET,VAN,6.42
RW,Kevin Labanc (26069854),Kevin Labanc,26069854,W/UTIL,3500,SJ@VAN 12/27/2022 10:00PM ET,SJ,7.06
D,Luke Schenn (26070356),Luke Schenn,26070356,D/UTIL,3500,SJ@VAN 12/27/2022 10:00PM ET,VAN,6.64
LW,Michael Amadio (26069848),Michael Amadio,26069848,W/UTIL,3500,VGK@LA 12/27/2022 10:30PM ET,VGK,5.06
C,Josh Norris (26069536),Josh Norris,26069536,C/UTIL,3400,BOS@OTT 12/27/2022 07:00PM ET,OTT,5.88
D,Matt Grzelcyk (26070368),Matt Grzelcyk,26070368,D/UTIL,3400,BOS@OTT 12/27/2022 07:00PM ET,BOS,6.02
RW,Tom Wilson (26069856),Tom Wilson,26069856,W/UTIL,3400,WAS@NYR 12/27/2022 07:00PM ET,WAS,0
D,Brett Pesce (26070372),Brett Pesce,26070372,D/UTIL,3400,CHI@CAR 12/27/2022 07:00PM ET,CAR,6.74
RW,Victor Olofsson (26069860),Victor Olofsson,26069860,W/UTIL,3400,BUF@CLS 12/27/2022 07:30PM ET,BUF,7.99
D,Owen Power (26070374),Owen Power,26070374,D/UTIL,3400,BUF@CLS 12/27/2022 07:30PM ET,BUF,6.04
D,Nils Lundkvist (26070376),Nils Lundkvist,26070376,D/UTIL,3400,DAL@NSH 12/27/2022 08:00PM ET,DAL,5.98
D,Erik Johnson (26070366),Erik Johnson,26070366,D/UTIL,3400,COL@ARI 12/27/2022 09:00PM ET,COL,6.71
C,Nick Bonino (26069538),Nick Bonino,26069538,C/UTIL,3400,SJ@VAN 12/27/2022 10:00PM ET,SJ,6.76
RW,Phil Kessel (26069858),Phil Kessel,26069858,W/UTIL,3400,VGK@LA 12/27/2022 10:30PM ET,VGK,5.42
D,Daniil Miromanov (26070370),Daniil Miromanov,26070370,D/UTIL,3400,VGK@LA 12/27/2022 10:30PM ET,VGK,6.8
D,Travis Hamonic (26070384),Travis Hamonic,26070384,D/UTIL,3300,BOS@OTT 12/27/2022 07:00PM ET,OTT,6.37
C,Casey Mittelstadt (26069540),Casey Mittelstadt,26069540,C/UTIL,3300,BUF@CLS 12/27/2022 07:30PM ET,BUF,5.72
RW,Gustav Nyquist (26069862),Gustav Nyquist,26069862,W/UTIL,3300,BUF@CLS 12/27/2022 07:30PM ET,CLS,6.76
RW,Justin Danforth (26069864),Justin Danforth,26069864,W/UTIL,3300,BUF@CLS 12/27/2022 07:30PM ET,CLS,6.88
D,Robin Salo (26070378),Robin Salo,26070378,D/UTIL,3300,PIT@NYI 12/27/2022 07:30PM ET,NYI,5.49
D,Mattias Ekholm (26070382),Mattias Ekholm,26070382,D/UTIL,3300,DAL@NSH 12/27/2022 08:00PM ET,NSH,6.54
LW,Andrew Mangiapane (26069866),Andrew Mangiapane,26069866,W/UTIL,3300,EDM@CGY 12/27/2022 09:00PM ET,CGY,6.29
D,Matt Benning (26070386),Matt Benning,26070386,D/UTIL,3300,SJ@VAN 12/27/2022 10:00PM ET,SJ,6.25
LW,William Carrier (26069868),William Carrier,26069868,W/UTIL,3300,VGK@LA 12/27/2022 10:30PM ET,VGK,6.89
D,Mikey Anderson (26070380),Mikey Anderson,26070380,D/UTIL,3300,VGK@LA 12/27/2022 10:30PM ET,LA,5.66
